Season,Round,Race,Circuit,Driver,Constructor,Position,Q1,Q2,Q3
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Verstappen,Red Bull,4,1:28.928,1:28.945,1:28.461
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Ocon,Alpine F1 Team,5,1:30.093,1:29.584,1:29.068
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Russell,Mercedes,6,1:29.680,1:29.618,1:29.104
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Alonso,Alpine F1 Team,7,1:29.978,1:29.295,1:29.147
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Bottas,Alfa Romeo,8,1:29.683,1:29.404,1:29.183
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Gasly,AlphaTauri,9,1:29.891,1:29.418,1:29.254
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Magnussen,Haas F1 Team,10,1:29.831,1:29.546,1:29.588
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Verstappen,Red Bull,1,1:31.295,1:30.503,1:29.708
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Pérez,Red Bull,2,1:31.479,1:30.746,1:29.846
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Leclerc,Ferrari,3,1:31.094,1:30.282,1:30.000
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Sainz,Ferrari,4,1:30.993,1:30.515,1:30.154
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Alonso,Aston Martin,5,1:31.158,1:30.645,1:30.336
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Russell,Mercedes,6,1:31.057,1:30.507,1:30.340
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Hamilton,Mercedes,7,1:31.543,1:30.513,1:30.384
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Stroll,Aston Martin,8,1:31.184,1:31.127,1:30.836
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Ocon,Alpine F1 Team,9,1:31.508,1:30.914,1:30.984
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Hülkenberg,Haas F1 Team,10,1:31.204,1:30.809,
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Norris,McLaren,11,1:31.652,1:31.381,
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Bottas,Alfa Romeo,12,1:31.504,1:31.443,
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Zhou,Alfa Romeo,13,1:31.615,1:31.473,
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Tsunoda,AlphaTauri,14,1:31.400,1:32.510,
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Albon,Williams,15,1:31.461,,
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Sargeant,Williams,16,1:31.652,,
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Magnussen,Haas F1 Team,17,1:31.892,,
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Piastri,McLaren,18,1:32.101,,
2023,1,Bahrain Grand Prix,Bahrain International Circuit,de Vries,AlphaTauri,19,1:32.121,,
2023,1,Bahrain Grand Prix,Bahrain International Circuit,Gasly,Alpine F1 Team,20,1:32.181,,
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Pérez,Red Bull,1,1:29.244,1:28.635,1:28.265
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Leclerc,Ferrari,2,1:29.376,1:28.903,1:28.420
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Alonso,Aston Martin,3,1:29.298,1:28.757,1:28.730
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Russell,Mercedes,4,1:29.592,1:29.132,1:28.857
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Sainz,Ferrari,5,1:29.411,1:28.957,1:28.931
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Stroll,Aston Martin,6,1:29.335,1:28.962,1:28.945
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Ocon,Alpine F1 Team,7,1:29.707,1:29.255,1:29.078
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Hamilton,Mercedes,8,1:29.689,1:29.374,1:29.223
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Piastri,McLaren,9,1:29.706,1:29.378,1:29.243
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Gasly,Alpine F1 Team,10,1:29.890,1:29.411,1:29.357
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Verstappen,Red Bull,1,1:30.031,1:29.374,1:29.179
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Leclerc,Ferrari,2,1:30.243,1:29.165,1:29.407
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Russell,Mercedes,3,1:30.350,1:29.922,1:29.485
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Sainz,Ferrari,4,1:29.909,1:29.573,1:29.507
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Pérez,Red Bull,5,1:30.221,1:29.932,1:29.537
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Alonso,Aston Martin,6,1:30.179,1:29.801,1:29.542
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Norris,McLaren,7,1:30.143,1:29.941,1:29.614
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Piastri,McLaren,8,1:30.531,1:30.122,1:29.683
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Hamilton,Mercedes,9,1:30.451,1:29.718,1:29.710
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Hülkenberg,Haas F1 Team,10,1:30.566,1:29.851,1:30.502
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Tsunoda,RB F1 Team,11,1:30.481,1:30.129,
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Stroll,Aston Martin,12,1:29.965,1:30.200,
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Albon,Williams,13,1:30.397,1:30.221,
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Ricciardo,RB F1 Team,14,1:30.562,1:30.278,
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Magnussen,Haas F1 Team,15,1:30.646,1:30.529,
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Bottas,Sauber,16,1:30.756,,
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Zhou,Sauber,17,1:30.757,,
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Sargeant,Williams,18,1:30.770,,
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Ocon,Alpine F1 Team,19,1:30.793,,
2024,1,Bahrain Grand Prix,Bahrain International Circuit,Gasly,Alpine F1 Team,20,1:30.948,,
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Verstappen,Red Bull,1,1:28.171,1:28.033,1:27.472
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Leclerc,Ferrari,2,1:28.318,1:28.112,1:27.791
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Pérez,Red Bull,3,1:28.638,1:28.467,1:27.807
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Alonso,Aston Martin,4,1:28.706,1:28.122,1:27.846
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Piastri,McLaren,5,1:28.755,1:28.343,1:28.089
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Norris,McLaren,6,1:28.805,1:28.479,1:28.132
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Russell,Mercedes,7,1:28.749,1:28.448,1:28.316
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Hamilton,Mercedes,8,1:28.994,1:28.606,1:28.460
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Tsunoda,RB F1 Team,9,1:28.988,1:28.564,1:28.547
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Stroll,Aston Martin,10,1:28.250,1:28.578,1:28.572
