Season,Round,Race,Date,Circuit,Country,DriverId,Lap,Stop Number,Time of Day,Duration
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,vettel,13,1,14:26:23,22.488
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,massa,13,1,14:26:33,23.145
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,hamilton,14,1,14:28:00,22.645
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,bottas,14,1,14:28:20,23.084
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,ericsson,14,1,14:28:36,23.846
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,ricciardo,14,1,14:28:38,22.635
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,button,14,1,14:28:51,23.936
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,rosberg,15,1,14:29:48,22.483
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,raikkonen,15,1,14:29:55,22.818
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,stevens,16,1,14:32:55,24.132
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,merhi,17,1,14:34:51,25.938
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,sainz,19,1,14:37:55,23.795
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,perez,26,2,14:50:03,23.338
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,vettel,30,2,14:56:09,22.444
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,ericsson,30,2,14:57:12,24.589
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,rosberg,31,2,14:57:50,22.829
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,nasr,31,2,14:58:53,23.732
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,grosjean,32,2,15:00:30,23.605
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,max_verstappen,32,2,15:00:35,23.258
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,button,32,2,15:00:57,23.273
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,hamilton,33,2,15:01:11,22.235
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,maldonado,33,2,15:02:42,22.899
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,raikkonen,34,2,15:03:09,22.453
2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,China,massa,34,2,15:03:37,23.317
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,max_verstappen,6,1,18:14:10,39.338
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,hulkenberg,10,1,18:20:48,26.652
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,nasr,10,1,18:20:56,25.459
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,massa,10,1,18:20:57,24.894
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,maldonado,10,1,18:20:58,30.426
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,ericsson,11,1,18:22:33,26.045
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,sainz,11,1,18:22:40,32.647
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,grosjean,12,1,18:24:12,24.735
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,vettel,13,1,18:25:38,24.509
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,alonso,13,1,18:26:08,25.370
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,rosberg,14,1,18:27:16,25.311
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,bottas,14,1,18:27:28,25.293
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,ricciardo,14,1,18:27:29,25.723
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,hamilton,15,1,18:28:52,25.791
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,kvyat,15,1,18:29:32,25.421
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,raikkonen,17,1,18:32:23,24.773
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,perez,17,1,18:32:51,25.573
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,merhi,18,1,18:35:44,25.834
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,stevens,19,1,18:37:18,26.103
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,nasr,24,2,18:44:52,25.898
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,massa,24,2,18:44:53,25.017
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,maldonado,24,2,18:44:54,24.310
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,ericsson,25,2,18:46:26,49.162
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,hulkenberg,25,2,18:46:33,24.679
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,sainz,29,2,18:53:43,26.593
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,max_verstappen,30,2,18:55:37,27.225
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,grosjean,31,2,18:56:32,25.259
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,vettel,32,2,18:57:31,24.449
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,hamilton,33,2,18:59:01,24.528
2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Bahrain,bottas,33,2,18:59:33,24.623
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,hulkenberg,10,1,14:19:46,22.659
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,kvyat,11,1,14:21:18,22.667
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,button,11,1,14:21:23,22.589
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,nasr,12,1,14:22:55,22.677
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,hamilton,13,1,14:23:49,24.586
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,ricciardo,13,1,14:24:18,22.440
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,max_verstappen,13,1,14:24:19,24.396
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,vettel,14,1,14:25:21,21.762
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,massa,14,1,14:25:37,22.139
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,maldonado,14,1,14:25:48,24.976
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,sainz,14,1,14:25:58,22.859
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,rosberg,15,1,14:26:45,21.870
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,bottas,15,1,14:27:01,22.082
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,grosjean,15,1,14:27:28,23.309
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,maldonado,15,2,14:27:46,32.459
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,stevens,16,1,14:29:49,24.687
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,raikkonen,17,1,14:30:09,22.623
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,merhi,17,1,14:31:33,24.631
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,ericsson,18,1,14:32:23,25.272
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,perez,19,1,14:33:59,22.468
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,alonso,21,1,14:37:01,23.728
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,hulkenberg,26,2,14:45:13,22.534
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,button,27,2,14:47:05,23.327
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,merhi,30,2,14:53:03,23.070
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,hamilton,32,2,14:53:17,22.727
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,massa,32,2,14:53:41,22.629
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,stevens,32,2,14:56:02,23.043
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,perez,36,2,15:01:03,22.426
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,max_verstappen,37,2,15:02:19,22.607
2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Spain,kvyat,38,2,15:03:48,22.273
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,hulkenberg,1,1,14:04:47,34.773
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,massa,1,1,14:05:03,42.934
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,sainz,12,1,14:19:42,25.306
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,bottas,14,1,14:22:23,24.641
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,ericsson,14,1,14:22:25,25.618
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,grosjean,17,1,14:26:21,25.077
