circuitId,circuitName,Year,Latitude,Longitude,Locality,Country
hungaroring,Hungaroring,2023,47.5789,19.2486,Budapest,Hungary
interlagos,Autódromo José Carlos Pace,2023,-23.7036,-46.6997,São Paulo,Brazil
jeddah,Jeddah Corniche Circuit,2023,21.6319,39.1044,Jeddah,Saudi Arabia
losail,Losail International Circuit,2023,25.49,51.4542,Al Daayen,Qatar
marina_bay,Marina Bay Street Circuit,2023,1.2914,103.864,Marina Bay,Singapore
miami,Miami International Autodrome,2023,25.9581,-80.2389,Miami,USA
monaco,Circuit de Monaco,2023,43.7347,7.42056,Monte-Carlo,Monaco
monza,Autodromo Nazionale di Monza,2023,45.6156,9.28111,Monza,Italy
red_bull_ring,Red Bull Ring,2023,47.2197,14.7647,Spielberg,Austria
rodriguez,Autódromo Hermanos Rodríguez,2023,19.4042,-99.0907,Mexico City,Mexico
silverstone,Silverstone Circuit,2023,52.0786,-1.01694,Silverstone,UK
spa,Circuit de Spa-Francorchamps,2023,50.4372,5.97139,Spa,Belgium
suzuka,Suzuka Circuit,2023,34.8431,136.541,Suzuka,Japan
vegas,Las Vegas Strip Street Circuit,2023,36.1147,-115.173,Las Vegas,USA
villeneuve,Circuit Gilles Villeneuve,2023,45.5,-73.5228,Montreal,Canada
yas_marina,Yas Marina Circuit,2023,24.4672,54.6031,Abu Dhabi,UAE
zandvoort,Circuit Park Zandvoort,2023,52.3888,4.54092,Zandvoort,Netherlands
albert_park,Albert Park Grand Prix Circuit,2024,-37.8497,144.968,Melbourne,Australia
americas,Circuit of the Americas,2024,30.1328,-97.6411,Austin,USA
bahrain,Bahrain International Circuit,2024,26.0325,50.5106,Sakhir,Bahrain
baku,Baku City Circuit,2024,40.3725,49.8533,Baku,Azerbaijan
catalunya,Circuit de Barcelona-Catalunya,2024,41.57,2.26111,Montmeló,Spain
hungaroring,Hungaroring,2024,47.5789,19.2486,Budapest,Hungary
imola,Autodromo Enzo e Dino Ferrari,2024,44.3439,11.7167,Imola,Italy
interlagos,Autódromo José Carlos Pace,2024,-23.7036,-46.6997,São Paulo,Brazil
jeddah,Jeddah Corniche Circuit,2024,21.6319,39.1044,Jeddah,Saudi Arabia
losail,Losail International Circuit,2024,25.49,51.4542,Al Daayen,Qatar
marina_bay,Marina Bay Street Circuit,2024,1.2914,103.864,Marina Bay,Singapore
miami,Miami International Autodrome,2024,25.9581,-80.2389,Miami,USA
monaco,Circuit de Monaco,2024,43.7347,7.42056,Monte-Carlo,Monaco
monza,Autodromo Nazionale di Monza,2024,45.6156,9.28111,Monza,Italy
red_bull_ring,Red Bull Ring,2024,47.2197,14.7647,Spielberg,Austria
rodriguez,Autódromo Hermanos Rodríguez,2024,19.4042,-99.0907,Mexico City,Mexico
shanghai,Shanghai International Circuit,2024,31.3389,121.22,Shanghai,China
silverstone,Silverstone Circuit,2024,52.0786,-1.01694,Silverstone,UK
spa,Circuit de Spa-Francorchamps,2024,50.4372,5.97139,Spa,Belgium
suzuka,Suzuka Circuit,2024,34.8431,136.541,Suzuka,Japan
vegas,Las Vegas Strip Street Circuit,2024,36.1147,-115.173,Las Vegas,USA
villeneuve,Circuit Gilles Villeneuve,2024,45.5,-73.5228,Montreal,Canada
yas_marina,Yas Marina Circuit,2024,24.4672,54.6031,Abu Dhabi,UAE
zandvoort,Circuit Park Zandvoort,2024,52.3888,4.54092,Zandvoort,Netherlands
